begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
8073;1.25,107.75;6.75,112.5;26.5,175.5;37.25,303.25;8.75,49.25;19.25,251.75;28.25,264.5;42.5,34.75
5278;1.25,107.75;29.25,94.5;47.5,179.5;59,335.75;7,50.75;12.75,234.75;28.25,264.5;42.5,34.75
2103;1.25,107.75;22,114;55.5,202.25;58.25,335.25;14.5,49.5;15.25,252;28.25,264.5;49.25,36.75
8342;3,119.5;49.25,114.5;55.25,199.75;57.25,335.25;14.5,49.5;15.25,252;35.5,261;39,59
8787;3,119.5;49.25,114.5;55.25,199.75;58,349.75;22.5,49.75;31,232.25;37.5,247.25;45,78.5
10861;13.75,150.25;47,134.75;55.25,199.75;68.5,343.75;23.25,30;31,232.25;37.5,247.25;38,78.5
8753;9.75,131.75;39.75,134.25;60.25,202.25;68.5,343.75;1.25,39.5;26.75,254.5;36.5,229.75;38,78.5
2592;12.5,120.25;39.75,134.25;67.25,227;68.5,337.25;0.75,39.25;4.75,247.25;31.75,232;38,78.5
10187;9.75,122.75;18.75,135;67,228.75;68.5,337.25;21.5,48.75;28,266;31.75,232;33.5,75.75
5615;26,123.75;29.75,151.5;58.5,206.75;68.5,337.25;2.5,30.25;3.5,276.75;31.75,232;64.5,92.75
5056;26,116;29.25,150.75;53.25,237.5;65,341.25;2.5,30.25;17.25,271.75;31.75,232;51,116
4481;28,151;38.25,123.5;48,255.25;66.25,326;2.5,30.25;17.25,271.75;39.75,228;54,133.75
6366;28,151;50.5,135.75;52.25,280.5;59.25,342.25;17.25,49.75;37.5,277.25;39.75,228;41.25,118.25
8665;28,151;34.75,115.5;52.25,280.5;65,348;10,54.75;32.5,274.25;48.5,231.5;52.75,133.75
10858;3.75,143.75;31,117.5;53.25,281.25;58,358.75;10,54.75;32.5,274.25;48.5,231.5;51.75,133.75
2613;3,153.75;31,117.5;31,268.75;41.25,359.5;13.5,59.5;23,269.25;49.75,234;51.75,133.75
2173;3,151.75;22.5,131.25;23.5,297;41.25,359.5;13.5,59.5;23.75,241;50.25,235;63.5,144.5
6270;3,151.75;11.75,117.25;39,302.25;45,362;17.25,91.25;23.75,241;50.25,235;63.75,145.75
10989;3,151.75;32.5,93.75;39,302.25;67.25,345;21.5,95.5;23.75,241;41.25,226.75;44.5,134.75
9416;18,119.25;42.5,91.75;42.75,291.5;67.25,345;20.5,80.25;23.5,220;26,201.75;44.5,134.75
4167;18,119.25;42.5,91.75;43.5,290.75;67.25,345;11.5,67.5;15.25,231;23.75,172.25;40.75,166.25
3622;6.75,106.5;26.25,71.75;43.5,290.75;53.75,367.5;11.5,67.5;15.25,231;37.5,167.25;54.25,178
5174;13,133.75;26.75,64.5;29.5,302.75;53.75,367.5;7.25,51.25;7.25,249.5;48.75,152.5;54.25,178
7958;13,133.75;26.75,65;57.25,294.25;63.25,335.25;6.75,48.5;7.25,249.5;23.75,149.25;39.25,182
2176;21,113.5;26.75,65;57.25,294.25;63.25,335.25;22.75,49;23.5,273.25;43.25,115;50,197.75
8835;26.5,123.75;52.5,45.25;63,266.25;63.25,335.25;15.75,56;18.25,271.75;35.5,88.5;50,197.75
8598;26.5,123.75;26.75,51.75;62.5,266.25;63.75,335;0.5,40.75;17.75,251.75;24.75,67;50,197.75
11097;21.75,123.25;26.75,51.75;38.75,244.75;63.75,335;5,30;17.75,251.75;24.75,67;41.75,197.75
888;23.25,124;23.75,50.75;31.5,268.75;43.25,325.75;5,30;17.75,251.75;20.75,66;34,185.25
842;13.5,120.75;17.5,64.5;29.75,252.25;41,307;6.25,4.5;17.75,251.75;20.75,66;46.5,166.25
