begin;0,0;0,324.25;274,0;274,324.25;0,0;0,324.25;274,0;274,324.25
33139;88.5,136;165.75,140.25;234.25,231.25;236.75,242.75;3.25,298.25;48,204.5;125.75,7;222.75,215.75
11816;86,111;178,182;220.75,223.5;236.75,242.75;2.75,298;7.25,212.5;126.25,6.75;222.75,215.75
1747;86,111;182.5,182.75;220.75,223.5;258.75,220.75;3.25,298.25;52,200.5;129.5,8.5;220.75,219.75
23869;86,111;209.5,180;213.25,245.75;247.25,191;3.25,298.25;87,211.25;129.5,8.5;220.75,219.75
25267;84,152.25;207.75,137.75;213.25,245.75;220,201.25;40.25,286.75;104.75,192.5;129.5,8.5;220.75,219.75
17284;63.25,118.5;199,166.25;208.5,266;220,201.25;53,279.5;104.75,192.5;129.5,8.5;223,255.5
96;34.5,105;199,130.25;208.5,266.75;233.25,199.75;53,279.5;104.75,192.5;127,1.75;221.25,250
38159;28.25,97;199,130.25;208.5,266.75;233.25,199.75;60,265.5;81.5,203;154.5,5.5;215.75,214.75
32480;49.5,59;199,130.25;208.25,235;220.25,219;60,264.5;81.5,203;121.75,0.25;226.75,227.25
29160;50,59.25;162,153.25;208.25,235;220.25,219;69.5,258.25;100.5,180.5;122.5,4.5;216.75,216.25
5319;50,59.25;174.5,147.75;188.5,240.25;220.25,219;99,292.5;99.5,213;110.5,27.25;216.75,216.25
34918;48.5,59.75;165.75,164.5;169.75,253;220.25,219;99,292.5;113,177.25;121,32.5;216.75,216.25
20537;49,60.25;167.5,168.25;208.5,272.75;209.75,266.25;84.75,268.75;113,177.25;121,32.5;186.5,226.5
36446;48.5,60.25;160.25,164.5;208.25,233;217.5,304;84.75,268.75;113,177.25;121,32.5;196,200.75
4258;21,21.75;180.25,197.75;208.25,233;226.75,286.5;85.75,267.75;113.25,180.5;117.75,26.75;196,200.75
12363;22.25,3.25;131,195.25;218,254.75;227.25,288;59,232.75;113.25,180.5;120.75,50.25;196,200.75
15875;49,8.25;81.25,181.75;218,254.75;226.25,287;59,232.75;109.75,187.5;117.75,10.25;203.5,189.25
31491;49,8.25;87,228.25;178,242.25;226.25,287;20.5,220.75;109.75,187.5;150.25,44.75;203.25,190.75
18209;27.25,4.75;73,219.25;178.5,223.25;226.25,287;41,199.75;103.25,179;150.25,44.75;210.25,188.75
23;27,9;58.75,246.5;179,231.5;236.5,279.5;41,199.75;108,209.5;150.25,44.75;209.5,189.5
15294;20.5,9.25;47,259.75;175.75,241.5;236.5,279.5;36.75,199.25;101,187;150.25,44.75;209,188.5
15584;49,13;64.25,237.75;193.5,234.5;236.5,279.5;36.75,199.25;101,187;174,15.25;209,188.5
37456;49,13;51.5,212.75;193.5,234.5;236.5,279.5;55.75,203;130.75,183.5;191.75,28.25;209,188.5
10369;49,13;49.75,168.25;194,234.25;260,301.5;55.75,203;136.5,179.25;179.25,11.75;219,144.75
31904;49,13;49.75,168.25;194,234.25;245.5,319;57.75,175.5;117.5,228.5;181.75,50.5;212.25,141.75
26054;49,13;78,170.75;194,234.25;245.5,319;54,137.75;103.25,249.5;197.75,31.25;204.75,113.25
27669;73,4.5;78,170.75;206.25,234;244.25,318.75;63.75,121;79,228.25;197.75,31.25;223.75,139.25
38224;76,26;122,146;206.25,234;243.5,319.5;50.25,158.75;118.75,235;197.75,31.25;229.5,144.25
37355;75.75,60;91.25,123.25;192,211.75;256.75,319.25;57.25,189.75;118.75,235;197.75,31.25;228,142.25
