begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
5281;4.5,165.5;6.25,310.25;27.25,50;57,276.75;38.25,116.5;38.5,286;41,246.25;48.75,306.5
420;4.5,165.5;6.25,310.25;29,79;49.25,304.75;14.25,163.25;38.25,333;45.25,299;62,306.75
5360;4.5,165.5;6.25,310.25;28.5,80.25;49.25,304.75;11.5,196.75;36.75,326.25;50.25,336;56.25,294.25
5673;6.25,166.25;21.5,262.5;21.75,115;42.25,255.5;11.5,196.75;36.75,326.25;50.25,336;65.25,290.25
5484;14.5,202;21.5,262.5;21.75,115;42.25,255.5;11.25,205;45.75,299.75;63,298.25;65.25,308.25
421;14.5,202;24.75,305.25;51,140.75;54.25,279.5;6.75,233.25;45.75,299.75;63.5,301.25;64.75,351.25
3957;2.75,237.25;24.5,302;30,115.5;53.75,279.75;6.75,233.25;40.25,303.75;57.25,303;64.75,351.25
443;8.25,241;24.5,302;50.5,120.75;53.75,279.75;6.75,250.75;40.25,303.75;57.25,303;60,346.75
5274;22,257;39,252.5;53.75,95.5;64.75,286.75;27.5,276.25;31.5,254;57.25,303;60,346.75
3460;22,257;40.5,256.5;49.5,94.25;64.75,286.75;25.75,252.5;25.75,280.25;44.5,325.25;63.75,346.75
1138;22,257;38.75,256.5;57.25,101.5;63.5,327;3.25,233.5;25.25,280.75;38.5,362.5;44.5,325.25
5461;22,257;38.75,256.5;53.75,90.75;57.75,326.75;2.5,232;23.75,252.75;40.75,373.5;43,318.25
5560;13.75,216.75;22.5,252.75;50.75,128.5;57.75,326.75;14.5,232;26.75,258.75;40.75,373.5;43,318.25
1601;23.5,253.25;35.5,222;57.25,102;64,334.25;14.5,232;30.75,287;40.75,373.5;43,318.25
5723;35.5,222;47.25,255.75;60.5,122.5;68.25,368;14.5,232;25.5,285.75;40.75,373.5;64.75,343.5
617;47.25,255.75;58.75,212;59.5,121.75;68.25,368;15.25,230.25;18.75,283;46.5,372;60.5,338
900;42,270.5;45.25,179.5;53.75,167.75;58.25,359.25;14.25,249.25;18.75,283;46.5,372;60.5,338
4602;7.75,269.5;28.5,167.5;42.5,147.25;53.75,346.5;5.25,227.5;18.75,283;25.25,355.75;60.5,338
5706;23,243.25;26.25,143;32.5,141.25;64,347.75;6.75,229.75;19.25,283;25.25,355.75;60.5,338
5979;1.75,258.5;28.5,168;50.75,124.75;64,347.75;6.75,229.75;19.25,283;64,356;65,343.25
666;4.75,259.75;26.5,167.25;42,123.25;64,347.75;16,186;20.75,254.75;38.25,337.25;64,356
5133;4.75,259.75;26.5,167.25;29.25,115.5;64,347.75;19.25,149.25;20,291;28.25,311.25;60.5,339
3685;18.25,287.25;26.5,167.25;44.5,121.5;64,347.75;13,113;18,289.75;28.25,311.25;50.25,361.75
5603;4.5,310;26,179.5;44,121.5;68,337.75;13,113;13.75,276.75;28.25,311.25;50.25,361.75
3744;5.75,310.25;26,179.5;30.25,115.75;38.75,330.75;14.25,139.75;28.25,311.25;31.5,272.25;62.75,365
2247;6.5,339;19.75,206.25;25,114.75;42.25,326;14.25,139.75;28.25,311.25;57.25,288.75;62.25,359.5
4981;6.5,339;19.75,206.25;25,114.75;44.25,326.25;13.25,126.5;35,278.25;42.75,264;66,337.25
3136;7,343.5;11.75,224.75;21.75,140.25;44.25,326.25;13.25,126.5;39.5,241.75;40.5,231.5;63,346.25
384;7.5,344.5;21.25,251.75;27,164.5;30,312.75;13.25,126.5;19.5,260.75;28.5,254;63,346.25
6177;13.75,325.5;22,256.25;25.5,166.25;32.75,351.75;13.25,126.5;37.75,228;49.5,243.75;63,346.25
3904;13.75,325.5;22,256.25;25.5,166.25;26,360.75;2.25,115.75;9.75,234;53.75,246.75;62.5,308.25
5367;13.25,310.25;22,256.25;25.5,166.25;27,360.75;1.75,66.5;27,241;28,210.5;62.5,308.25
1881;20,328.25;22,256.25;41,180.5;50,339.5;8.75,108;27.25,241;29.75,167.75;62.5,308.25
3390;20.25,311.5;22,256.25;29.5,191.25;36.25,358.75;40.75,118.5;49,210.5;62,177;62.5,308.25
4000;24.5,254.75;24.5,302.25;29.5,190.25;50.25,303.25;33.75,95.25;35.75,199.25;62,177;62.5,308.25
5099;9.5,247.25;23.75,296.75;26.75,181;44.25,269.25;32,94.5;35.75,199.25;51,175.5;62.5,308.25
6013;14.75,258.25;25.5,310.75;31.75,154;44.25,269.25;11.75,67.5;36,201.25;51,175.5;58.25,289.5
5340;14.75,258.25;33.25,305.25;37.75,164;44.25,273;6,52;25.25,217;51,175.5;57.5,286.5
2361;14.75,258.25;32.5,306.25;37.75,164;50.75,256.25;6.75,33;26.5,219.5;36.5,150.25;61.25,288.25
5570;14.75,258.25;32.5,306.25;35,160.75;50.75,256.25;5.75,47.25;6,231.25;34.75,141.75;65.25,298.25
1766;6.5,247.25;21.5,310.25;28,131;31.25,263;2,47.75;6,231.25;46.75,114.75;65.25,298.25
1415;6.5,247.25;21.5,310.25;28,131;31.25,263;5.75,57;40.25,233.5;56,79.25;61,283.5
4729;6.5,247.25;12,295.75;28.5,130.5;42,257;7.75,57.25;40.25,233.5;61.75,80.25;64.5,268.5
743;6.5,247.25;14,296.25;46.25,115.75;60.5,289.75;32.25,54.25;49,198.25;58,86.75;64.5,268.5
628;25.5,253;30.75,305.75;43.25,148;43.5,313.25;23.5,56.5;42,196.25;58,86.75;64.5,268.5
5467;25.5,253;30.75,312.75;35.75,154.75;43.5,313.25;22.75,57.25;33.5,209.75;41,77.5;62.5,296
