begin;0,0;0,274.5;173,0;173,274.5;0,0;0,274.5;173,0;173,274.5
10618;40.75,127.75;51,65;137,181.5;143.5,141;10.5,144;42,215.5;62,251.25;74.25,83.25
5052;40.25,127.75;79.75,80.75;114.5,208.5;142.5,173;10.5,144;10.75,227.25;56.5,214.75;74.25,83.25
11759;21,108.75;84.5,91.5;111.75,218.25;142.5,173;10.25,143.25;10.75,227.25;56.5,214.75;89.25,95.25
1109;8.75,86;93.25,97.75;132.75,222.25;139.75,175;6.25,158.25;10.25,224.25;56.5,214.75;89.25,95.25
11805;43.5,82.5;62,99.75;131.75,243.25;139.75,175;6.25,158.25;13.75,222.75;89.25,219.75;90.5,97.25
3367;33.5,74;35.5,92.5;128.5,245.5;134,190.75;6.25,158.25;13.75,222.75;65,204.75;80,97.25
8008;52.5,112;53.75,57.25;115,265;136,174.5;6.25,158.25;13.75,222.75;61,217.75;81,86.75
6478;52.5,112;57,54;91,251.5;118.25,150.75;2.5,136.25;34,198.75;61,217.75;78.5,95.25
12347;52.5,112;75.5,76;107,269.25;123.75,139.5;3,136.25;56.5,188;61,217.75;82.5,97.25
12130;52.75,79.5;100.25,57.25;114.25,261.5;123.75,139.5;3,136.25;56.5,188;80.75,230.5;82.5,97.25
4227;72.5,63.5;100.25,57.25;101.75,235.5;146.5,142.25;32.25,141;56.5,188;63.5,247;91.5,84.5
2893;72.5,63.5;92,59.75;92.25,240.75;143.5,164.5;32.25,165;35.5,170.25;63.5,247;91,81.75
6879;43.5,64.5;92,59.75;101,269.25;130.5,165.25;32.25,165;55,157.75;90.5,242;91,81.75
12391;43.5,64.5;93.75,91;124.25,254;125.75,145.25;32.25,165;72.25,184;90.5,242;110.25,53
7367;55.25,65.75;92.25,92.75;124.25,254;159.5,139.75;32.25,165;64.5,182;69.5,240.25;82.25,47.75
6138;76,75.25;91.25,83.5;124.25,254;164.25,137.75;39,143;40.75,172.5;67.5,241.5;82.25,47.75
5311;68.75,67;73.25,77.75;124.25,254;164.25,137.75;23.75,118.75;49.5,186.5;67.5,241.5;96.25,45
5256;65.75,67.5;82.5,54.25;105.5,253.75;164.25,137.75;23.75,118.75;50,185.5;67.5,241.5;98.25,41.5
10370;71.5,80;82.5,54.25;138.5,260.75;148.75,128.25;11.25,85.25;50,185.5;67.5,241.5;96.75,21.25
12329;71.25,80.25;81.25,50.25;138.5,260.75;146.25,137;11.25,85.25;50,185.5;50.5,235;121,6.75
10375;71.25,80.25;91.75,21.75;110,262;123.25,125.25;12.5,86;39.5,158.25;50.5,235;121,6.75
4095;71.25,80.25;97.75,22;110,262;138.75,99.25;28.5,53.75;39.5,158.25;48,238;107.25,40
5324;58.75,68;97.75,22;113.75,244.5;138.75,99.25;12,37.5;40.5,159;48,238;132,26.25
10174;42.5,100.75;97.75,22;99.75,245.75;141,89.75;4.75,69.25;35.75,161;43,220.5;132,26.25
7112;33.25,101.5;74,6;99.75,245.75;145,68.75;4.25,69.75;11,184.75;40,233;132,26.25
11622;34.75,106.75;69.25,8.25;114.25,238.5;115.75,59.5;4.25,69.75;11,184.75;44,234.25;132,26.25
11604;34.75,106.75;69.25,8.25;110.25,266;116,37.75;4.25,69.75;11,184.75;69,225.75;154.75,13.75
723;19.25,120.5;34.25,20.5;114,266.75;116,37.75;4.25,69.75;18.75,191;103,227.75;154.75,13.75
11646;19,157;34.25,20.5;90.75,243.25;116,37.75;15.25,85.5;18.25,172.25;103,227.75;156.5,13.5
10644;9.5,136.25;14.25,17;90.75,243.25;98.25,56;15.75,84.5;18.25,172.25;125,204;142.75,6.5
3003;3.25,90.25;14.25,17;90.75,243.25;99.25,56.25;24.75,106.75;37,151.25;128.75,232;134.25,10.5
9054;9,83.75;32.75,24.5;74.75,235.25;99.25,56.25;11.25,130.25;65.75,123.75;97.25,230.25;134.25,10.5
1795;9,83.75;21.5,30.5;90.75,231.5;99.25,56.25;11,129.75;68.5,89.25;94,219.75;134.25,10.5
6855;9,62.25;21.5,30.5;90.25,196.25;90.75,62.5;31.25,119.75;67.25,89.75;79.25,230.25;134.25,10.5
5442;9,62.25;10.25,39.5;79.75,158.25;103.75,53;50.75,122;57,62.75;79.5,233.75;134.25,10.5
28;10.5,64;40,47.5;104.5,144.25;129.75,79;19.75,118.75;57,62.75;77,257.25;134.25,10.5
8800;7.5,56.75;71.25,42.5;80.5,155.75;129,79;27.5,88.25;57,62.75;61.75,254;134.25,10.5
10495;26.75,62;96.75,22.25;114.25,166.25;129,79;41,75.25;57,62.75;72,245.5;134.25,10.5
1778;47.5,84;79,15.75;114.25,166.25;129,90.75;46.75,101.5;54.75,79.25;72,245.5;131.75,42.75
7373;39.25,48.5;79,15.75;107.25,200;138.5,62.75;30.5,107.75;41,42.25;60.5,242;131.75,42.75
711;54,52.75;79.5,15;100.25,214.75;141.5,62.75;37,80.25;41,42.25;51.75,221;131.75,42.75
10361;44,80;79.5,15;97,191.75;143,60.5;4.75,84.75;39.75,19.25;51.75,221;131.75,42.75
5949;34,92.5;70.75,5.5;91,198.5;150.5,76;4.75,85.25;39.75,19.25;90.25,215.5;131.75,42.75
4955;24.75,121.75;70.75,5.5;122,175.75;150.5,76;22,86.75;73,35.75;91.25,214.25;125,54
11568;24.75,121.75;74.5,8;132.25,162.25;159.5,77;22,86.75;62,19.25;87.25,224;125,54
10153;24.75,121.75;74.5,8;137,140;159.5,77;22,87.75;89.25,30.25;116.75,218.5;120.5,62.25
1659;6.5,158.5;76.5,21.25;138.75,155;159.5,77;22.5,87.75;71.5,17;116.75,218.5;121.75,62.25
8665;20.5,165.75;84.25,15.5;143.25,141.25;159.5,77;22.5,87.75;64.5,16.25;116.75,218.5;121.75,62.25
7907;16.75,194.75;66.5,34.25;132.75,125.25;140.75,102.25;22.5,87.75;64.5,16.25;116.75,218.5;121.75,62.25
5093;18.25,185.75;67.75,62.5;134.75,137.25;147,90.25;22.5,87.75;64.5,16.25;116.75,218.5;121.75,62.25
848;20.5,204.75;67.75,62.5;134.75,137.25;160.25,86.25;23.75,95;41,46.25;112.75,219.5;121.75,62.25
6649;31.5,205.75;67.75,62.5;102.5,144;162.75,54.5;23.75,95;40.75,44.5;115.75,252.25;136.75,88.75
10969;4.75,219.75;68.25,80;81,165.25;162.75,54.5;7,72;40,44.5;82,256.25;136.75,88.75
7130;3,232.5;42,92.25;81,165.25;162.75,54.5;7.25,72.5;25.5,23.25;66,225.25;136.75,97.75
3047;6.25,218.75;45.25,65.25;71.75,156.5;162.75,54.5;7.75,72.5;25.5,23.25;96.75,240;139,124
3028;6.75,221.25;45.25,65.25;45.25,156;162.25,53.5;16.5,79.25;30,8;70.75,246.75;139,124
5694;10,212.75;13.5,52.25;44.75,192.5;152,39.25;16.75,79.75;30,8;68,241.5;139,124
7399;7.5,176.5;40.25,48;52,190.25;154,38;16.75,79.75;30,8;43.5,233.5;139,124
5679;22.25,186;40.25,48;53.75,179.25;138.75,42.5;18.75,73.75;30,8;48,247.25;138.75,126.25
1785;10.75,152.75;40.25,48;49.75,173;136,57;10.5,90.75;30,8;47,246.5;138.75,126.25
4947;10.5,155.5;40.25,48;70.75,163;135.75,56;15,72.25;30,8;68.25,227.25;140.75,92
5459;10.5,155.5;53,52.25;86.25,171.75;102.5,51.5;15.75,72;30,8;102.75,221.5;126.5,118.25
7988;10.5,155.5;53,52.25;74.25,144;96.75,21.5;15.75,73;30.5,37.5;104.5,220;125.75,85.25
5528;10.5,155.5;21.5,51.75;74.25,144;96.75,21.5;7.75,78.5;58.75,44.75;126,215.75;128.75,86.25
5288;7.5,185.25;26.75,16.75;76.75,143.75;92.75,28.5;6.75,79.5;32,35.75;126,215.75;128.75,86.25
4154;9.5,143.25;23.25,19.5;43,119.75;73,43.75;6.75,79.5;28.25,18;126,215.75;128.75,86.25
6368;9.5,143.25;23.25,19.5;29,78.25;79.25,11.25;6.75,79.5;46,45.75;97,239.5;129.25,117.75
11059;18,144.5;23.25,19.5;29,78.25;62,32.5;6.75,79.5;46,45.75;79.75,245.75;123,156.75
10990;18,144.5;23.25,19.5;29,78.25;61.75,31.25;19.5,83.5;76.75,48.25;95.25,269.75;129.25,163.75
6075;22,162.5;23.25,19.5;35.5,104;39.25,52.25;20.5,83.25;84.5,56;95.25,269.75;143.25,141.75
10179;22,162.5;23.25,19.5;37.75,113.75;39,51;4.75,98.5;82,46;95.25,269.75;144.5,179.5
424;13.75,110;23.25,19.5;32.25,92.75;76.5,42.25;45.25,119.75;82,46;95,264;120,218
9183;4.25,127.5;23.25,19.5;32.25,92.75;94,68.75;76,142.25;85.75,61.5;95,264;102.75,220.75
805;6.5,79;7.5,63.25;28.5,116;94,68.75;76,142.25;78.25,49.25;84,242;85,257.25
10336;7.5,63.25;20.5,77.75;28.5,116;103.25,80.75;52,157.25;72.75,35.5;79,241.5;85,257.25
9649;11.5,71.25;26.75,62;44.75,104;103.25,80.75;41.25,145;66.75,18.75;85,257.25;89.75,240.75
2701;11.5,71.25;18.75,83.5;46.75,104;103.75,80.75;20.75,118.25;59.75,49;85,257.25;89.75,240.75
1048;11.5,71.25;19,83;68.25,78;73.75,105.5;31.25,93;49,52.5;85,257.25;96,251.25
12338;13.5,52.25;24.75,121.75;35.5,92;73.75,105.5;31.25,93;80,66.75;89,239.5;124.25,266
7243;5.5,17.75;35,93.5;39.75,80.5;74,106.75;31.25,93;79.25,66.5;89,246;124.25,266
10619;5.5,17.75;34.75,81.75;35.25,91.75;43,128.75;27,55.75;81.5,91.25;89,246;126.25,271.75
364;27.5,42;35.25,91.75;41.25,80;43,130;18.5,28.25;81.5,91.25;97.5,228;129,226
119;8.25,39.25;35.25,64.75;35.25,91.75;43,130;41.5,5.75;62,52.5;95.25,270.25;102,241.5
6033;17,53.25;35.25,64.75;35.25,91.75;43.75,170.5;40,3.5;85.25,44.5;94.25,229.25;133,216.25
11379;22.5,52.25;35.25,64.75;35.25,91.75;47,190.25;40,3.5;65.5,47.5;84.5,194.5;116.25,246.5
5553;22.5,52.25;33,77.5;35.25,91.75;46,191.5;48.75,44;81.25,32.25;106.75,230;128.25,218.75
6742;9.25,92.25;27,53.25;33,77.5;81,205.25;46,69.5;74,44.75;106.5,230.75;128.25,218.75
9481;12.75,92.25;33,77.5;44.25,42.5;60.5,190.25;59.5,65.5;77,49.25;84.75,246.25;128.25,218.75
11710;12.75,92.25;33,77.5;44.5,1.75;60.5,190.25;47.75,108.25;77,49.25;98.25,266.25;125.25,217
5138;29.25,111.75;67.5,67.25;73.5,16.25;88.75,203.5;29.5,146.25;77,49.25;98.25,266.25;125.25,217
5280;29.25,111.75;63,96.25;96.75,28.75;107.5,190;30.5,166.25;77,52;98.25,266.25;110.25,238.5
8922;29.25,111.75;62.5,97.25;76.25,5;129.5,196.5;30.5,166.25;73.75,49;95,264;104,230.25
10519;19.5,119.75;62.5,97.25;76.25,5;153.5,186.75;30.5,166.25;69.75,45.25;95,264;111.5,237.75
7201;23.5,135.75;62.5,97.25;96.75,3;135.75,210.5;20,169.75;49.25,62.75;95,264;111.5,237.75
2477;23.5,135.75;61.75,96.5;96.75,3;137.25,245.5;9,150;68,38.25;89,255.75;128.75,223.25
10292;19.5,108.75;38.25,103.5;96.75,3;142.75,267.25;22.5,161.75;68,38.25;81,255.75;128.75,223.25
11900;39.5,102.75;59.25,96.75;96.75,3;118.75,269.5;22.5,161.75;91,23.5;114.5,266.75;128.75,223.25
5250;39.75,101.75;73.5,83.75;81.25,14.25;118.75,269.5;51,189;64,11.5;114.5,266.75;121.25,227.75
10835;14,99;80.25,56.25;81.25,14.25;120.25,262.25;39,158.25;68.5,44.75;114.5,266.75;121,225.5
7275;24.75,98.25;75.75,80.75;81.25,14.25;115.25,247.5;39,158.25;47.75,59.25;96,252.5;106,211.5
3437;26.5,62.5;49.75,102;93.25,24;99.75,220.25;31.75,125.25;47.75,59.25;95.5,252;106,211.5
10449;26.5,62.5;49.75,102;82.75,48.25;99.25,239.75;31.75,124.75;70.5,49.5;102,255.75;134.5,214.75
12388;26.5,62.5;27,108.75;105.75,53.5;114.75,252.75;31.75,124.75;59.75,47;102,255.75;134.5,214.75
6963;5.25,48.5;27,108.75;101.5,67;127.25,268;30.5,124;60.5,41.75;90.25,269.25;134.5,214.75
8248;7,44.25;16.25,144.5;99.25,66.75;110,259;12.5,130.25;66.25,53.25;90.25,269.25;134.5,214.75
5139;7,44.25;9.5,156;113.75,56;114.25,269.25;15.75,153.75;65.75,52.75;90.5,253.75;134.5,214.75
