begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
2407;3,151.75;6,246.75;23.25,114;37,303.25;14.25,141.25;22.5,256;29.5,232.25;48.25,134.25
2716;3,151.75;23,242.25;29.5,112.75;38,306.25;12.25,146.75;20.5,233.25;22.5,256;24,134.75
11809;3,151.75;23.5,256.25;29.5,112.75;46.25,303;21,151.75;21.25,232.75;32.25,265.5;35,148.25
8837;3,151.75;27,278.75;33.75,117.75;39.25,285.5;21,151.75;21.5,231.5;28,230.75;35,148.25
3452;17.5,152.75;26,299;37.75,113.5;46.75,306.25;21,151.75;21.5,231.5;28,230.75;46.5,142.75
10290;17,153.25;31.25,305.25;42.5,108.25;46.75,306.25;6.75,141.5;13.5,217.75;28,230.75;44.25,110.5
1393;24.5,164.5;35.5,288;43.75,109;60,327;6.75,141.5;13,231.5;35,228;44.25,110.5
9941;11.75,164;35.5,288;44.5,108.25;69.5,342;13.25,134.75;14,232.75;21.5,235;44.25,110.5
10311;12.5,188.25;39,303.25;44.75,107.25;69.5,342;13.25,134.75;39.75,224.25;45.5,227.75;49,116.75
12246;12.75,193.25;21.5,313.75;46.25,135;69.5,342;13.25,134.75;31,249.25;43.25,233.25;52.25,110.25
426;20.5,207;21.5,313.75;38,114;47.5,360;15.75,127.25;31,249.25;40,225.75;56,134.75
5607;5.25,205.75;17,332.25;45,78.75;53.5,360.25;0.5,106;31,249.25;40,225.75;54.25,139.5
4216;1.25,205.25;7,351.25;51.5,49.75;64.5,338.75;18.25,111.25;31,249.25;40,225.75;42.25,171
15477;1.25,205.25;18,361;38,78;49,304.5;18.25,111.25;34,269.25;40,225.75;42.25,171
10979;1.25,205.25;14.5,370.75;42.75,88.5;49,304.5;7.5,80.75;18.75,252;40,225.75;50.75,140.5
12625;1.25,205.25;14.75,369.5;29.75,116;49,304.5;11.25,66.5;18.75,252;26.25,233;48,152.5
1361;4,211.25;9,356.75;17.25,146;69.75,299.25;7,58.75;19.25,251.75;26.25,233;48,152.5
12554;6.25,246.25;9,356.25;39.5,148.75;56,299.75;7,58.75;19.25,251.75;29,200.75;42.25,117.25
13613;2,255.75;9.5,356.25;39.5,148.75;56,299.75;8.75,54.75;19,230;22,199.25;55.75,111
14350;2,255.75;13.5,331.75;39.5,148.75;63.5,275.25;6.75,51.75;9.25,250.5;36,198;55.75,111
9129;18.5,246.75;32.5,330;39.5,138.5;60.75,277;5.25,48.75;22,230.75;36,198;55.75,111
4397;30.25,256.25;33.25,331.75;48.25,116.25;63.75,291.75;2.75,28;22.5,230.75;36,198;55.75,111
633;23.25,255.75;43.5,313.75;48.25,116.25;62.5,292.25;13.25,39;22.5,230.75;41.75,191.25;66.75,92.5
16290;23.25,261.25;31,306.5;48.25,116.25;62.5,292.25;13.25,39;22.5,230.75;33.75,170.5;65.5,83.25
14202;17,263.75;37.75,314.75;48.25,116.25;63.5,292.25;1,20.75;20.25,251;33.75,170.5;53,67.75
12907;7.5,240.5;11.75,315.25;37.75,101;60.75,305.25;8.5,50;20.75,250.75;33.75,170.5;53,67.75
8048;7.5,240.5;11.75,315.25;39.25,101.75;60.75,305.25;24.25,48.5;28.25,256.75;33.75,161.75;48.5,58.5
6313;17.5,261.25;37.5,305.5;39.25,103.25;45.75,282.25;15,47.75;22.75,286.75;33.75,161.75;48.5,58.5
3651;27.25,261.5;31.25,313.5;39.25,103.25;45.75,282.25;15,57.25;33.25,298;44,166.25;59.75,50
9688;29.5,256;31.25,313.5;39.25,103.25;54.5,289;24.75,49;40.25,291;44,166.25;60.5,30.75
6267;29,253.5;40.25,306.5;47.25,114.25;68.25,304.25;24.75,49;40.25,291;44,166.25;62.25,18.5
