begin;0,0;0,174.5;223.5,0;223.5,174.5;0,0;0,174.5;223.5,0;223.5,174.5
876;1.5,140.75;59,82;140.5,123.75;169.75,67.75;0.75,164;51,35.5;147,160.75;177.5,118.25
1586;18.75,119.25;79,53.75;145.25,138.75;169.75,67.75;0.75,164;53.25,40.75;172.5,151;188.25,84.25
774;26.75,116.5;68,52.25;132,162.75;169.75,67.75;9,154.25;46.5,47;173.75,151.25;188.25,84.25
3376;31.5,135;90.25,60.75;132.75,159.25;146,52.5;9,154.25;46.5,47;174.25,151.25;181.5,90.5
3326;9,131.5;90.5,60.5;132.75,159.25;149,57.5;36.75,165.25;46.5,47;162.25,173.25;168.25,86.75
2765;9,131.5;90.5,60.5;138.25,168;150.75,86.25;55.75,173.75;69.75,24;125.25,153.5;163.5,82.25
2978;10,129.25;91.75,59.25;139.75,158.75;155.25,57.25;55.75,173.75;63.75,38.5;125.25,153.5;137.75,99.75
2435;12.5,158;64.75,51.75;113.25,155.75;157.75,28.25;36.75,152.75;63.75,38.5;98,159.5;137.75,99.75
4971;36.75,145.5;65,52.25;100.75,147.25;166,56.75;37,152.75;63.75,38.5;79.75,138.75;137.75,99.75
7914;44.5,126;65,52.25;95.75,129.75;156.25,38.75;44.5,151;54,22.75;79.75,138.75;137.75,99.75
1965;33.25,130;65,52.25;95.75,129.75;148.5,56;20.75,170;30.75,27;83,144;137.75,99.75
6632;49.25,115.5;59.5,35.25;95,130.5;131,70.5;22.5,155.25;30.75,27;83,144;137.75,99.75
5350;49.25,115.5;74.75,35.75;95.5,115.5;121.5,71.5;36.25,152.5;49,17.5;76.25,117.25;137.75,99.75
689;42,141.75;87,46.75;98.25,117.25;122.5,71.75;36.25,152.5;78,9.75;102,115.5;137.75,99.75
6454;46.75,115.25;70.75,53.75;115.5,136.75;147.75,95.5;39.25,146.25;78,9.75;102,115.5;135.25,100.25
3908;46.75,115.25;80.5,81.25;100.75,117.75;145.25,83.75;36.75,171.25;74,2;102.5,115;135.25,100.25
7947;54,131;74.5,104.25;100.75,117.75;145.25,83.75;36.75,171.25;74,1.5;88,131.5;145,102
6316;47,122.25;74.5,104.25;90.25,108;141,107.75;41.75,171.25;71.75,23;84,154;145,102
8411;47,122.25;67.75,78.75;84.75,108.5;136.5,76.25;41.75,171.25;98.5,13.5;102.25,161.5;166.25,83.25
